Record_ID,Crop,State,Region,Pest_Name,Pest_Type,Month_Reported,Incidence_Percent,Incidence_Level,Probable_Cause,Recommended_Control,Control_Type,Source,Imputed_Flag,Incidence_Percent_Imputed,Year
1,Onion,Bihar,East,Whitefly,Insect,March,58.2,Medium,Delayed sowing,Crop rotation and field sanitation,Cultural,Farmer field report,False,58.2,2025
2,Onion,Jharkhand,East,Tikka Leaf Spot,Fungal,April,59.9,Medium,Uncontrolled weeds,Adopt resistant varieties,Cultural,State Agriculture Dept,False,59.9,2025
3,Sugarcane,Maharashtra,West,Aphids,Insect,September,35.8,Medium,Continuous monocropping,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,35.8,2025
4,Apple,Himachal Pradesh,North,Thrips,Insect,October,66.8,High,Delayed sowing,Crop rotation and field sanitation,Cultural,KVK alert,False,66.8,2025
5,Rice,Assam,East,Stem Borer,Insect,January,14.2,Low,High humidity,Apply recommended fungicides,Chemical,State Agriculture Dept,False,14.2,2025
6,Tomato,Bihar,East,Tikka Leaf Spot,Fungal,May,15.0,Low,Uncontrolled weeds,Apply recommended fungicides,Chemical,Farmer field report,False,15.0,2025
7,Wheat,Odisha,East,Tea Mosquito Bug,Insect,August,79.4,High,Delayed sowing,Use sticky traps and neem oil,IPM,PPQS report,False,79.4,2025
8,Apple,Punjab,North,Leaf Rust,Fungal,September,73.9,High,Uncontrolled weeds,Adopt resistant varieties,Cultural,ICAR advisory,False,73.9,2025
9,Pigeonpea,Punjab,North,Late Blight,Fungal,November,54.2,Medium,High humidity,Adopt resistant varieties,Cultural,State Agriculture Dept,False,54.2,2025
10,Potato,Uttarakhand,North,Tea Mosquito Bug,Insect,August,82.9,High,Invasive pest spread,Use sticky traps and neem oil,IPM,Farmer field report,False,82.9,2025
11,Apple,Uttarakhand,North,Leaf Rust,Fungal,December,33.5,Medium,Poor drainage,Adopt resistant varieties,Cultural,ICAR advisory,False,33.5,2025
12,Tomato,Maharashtra,West,Wilt,Fungal,September,13.3,Low,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,13.3,2025
13,Sugarcane,Maharashtra,West,Thrips,Insect,May,,,Heavy rainfall and waterlogging,Adopt resistant varieties,Cultural,PPQS report,True,26.6,2025
14,Onion,Uttarakhand,North,Brown Planthopper,Insect,November,63.0,High,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,Farmer field report,False,63.0,2025
15,Apple,Odisha,East,Stem Borer,Insect,December,27.6,Low,Poor drainage,Release Trichogramma parasitoids,Biological,ICAR advisory,False,27.6,2025
